Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_01	q_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-2875.58	-2858.58	-16.9997	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.187796	0.2626322	8.597907	1.470424	0.410567	0.0105636	0.0157874	0.952655	0.020994	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0972753
1	-2876.63	-2858.92	-17.7138	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.1174	0.2626322	8.597907	1.470424	0.410567	0.0118409	0.045318	0.682743	0.260098	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.204691
2	-2876.81	-2858.88	-17.9365	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.30149	0.2626322	8.597907	1.470424	0.410567	0.0112916	0.0432159	0.710117	0.235375	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.204691
3	-2876.58	-2858.61	-17.9712	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.30149	0.2626322	8.597907	1.470424	0.410567	0.0128846	0.0493128	0.925359	0.0124439	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
4	-2877.21	-2858.61	-18.5928	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.71379	0.2626322	8.597907	1.470424	0.410567	0.0128846	0.0493128	0.925359	0.0124439	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
5	-2877.51	-2858.92	-18.5928	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.71379	0.2626322	8.597907	1.470424	0.410567	0.0682739	0.185969	0.679819	0.0659386	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
6	-2877.3	-2859.44	-17.8581	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.21147	0.2626322	8.597907	1.470424	0.410567	0.127047	0.346058	0.404194	0.122701	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
7	-2879.21	-2859.5	-19.7173	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-2.27731	0.2626322	8.597907	1.470424	0.410567	0.164048	0.156489	0.38299	0.296473	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
8	-2878.91	-2859.62	-19.2812	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-2.077	0.2626322	8.597907	1.470424	0.410567	0.32094	0.137585	0.336726	0.204749	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
9	-2878.54	-2859.94	-18.5969	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.81554	0.2626322	8.597907	1.470424	0.410567	0.233644	0.372162	0.245137	0.149057	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.063965
